,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,Assessment_Date,Age(days),device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
1124,Laptop,24331173,Dell,Vostro,2014-10-02,2021-04-22,2022-01-15,2662,No,No,No,Good,17.67,Good
1125,Smart Phone,26262222,Apple,Iphone 11,2019-10-22,2021-04-21,2022-01-28,829,No,No,No,Good,15.4,Good
1126,Laptop,99772796,Lenovo,ThinkPad,2017-03-19,2021-06-16,2022-02-12,1791,No,No,No,Average,8.34,Average
1127,Smart Phone,55899451,Nokia,C20 Plus,2020-12-30,2021-03-13,2022-01-20,386,No,Yes,Yes,Good,19.25,Good
1128,Laptop,44671648,Lenovo,ThinkPad,2015-05-15,2021-02-08,2022-02-07,2460,No,No,No,Good,19.15,Good
1129,Feature Phone,00278287,Samsung,8000,2017-02-03,2021-06-09,2022-01-10,1802,No,Yes,Yes,Poor,3.23,Poor
1130,Laptop,24822251,HP,EliteBook,2019-12-29,2021-06-08,2022-02-01,765,No,No,No,Poor,2.7,Poor
1131,Laptop,06382971,Lenovo,Ideapad,2014-02-28,2021-07-09,2022-01-03,2866,No,No,No,Poor,3.81,Poor
1132,Laptop,47943704,Lenovo,Ideapad,2017-09-23,2021-04-29,2022-01-17,1577,Yes,No,Yes,Good,14.47,Good
1133,Laptop,07159138,Apple,MacBook,2017-04-17,2021-05-26,2022-01-16,1735,No,No,No,Good,15.55,Good
1134,Laptop,79256162,HP,EliteBook,2019-09-24,2021-06-08,2022-02-08,868,No,No,No,Poor,3.11,Poor
1135,Laptop,42840732,Apple,MacBook,2018-11-03,2021-01-03,2022-01-24,1178,No,No,No,Poor,2.27,Poor
1136,Feature Phone,49910001,Samsung,8000,2017-09-30,2021-07-21,2022-01-05,1558,Yes,Yes,Yes,Poor,2.38,Poor
1137,Smart Phone,01314090,Samsung,Galaxy J7 duo,2019-03-20,2021-05-03,2022-01-16,1033,No,Yes,Yes,Poor,3.64,Poor
1138,Laptop,89051566,HP,Pavilion,2016-03-18,2021-07-08,2022-01-17,2131,No,Yes,Yes,Good,14.54,Good
1139,Laptop,72059463,Lenovo,Ideapad,2020-09-23,2021-06-15,2022-01-11,475,No,Yes,No,Poor,2.99,Poor
1140,Smart Phone,03462997,Nokia,G50,2014-05-19,2021-01-05,2022-02-16,2830,No,No,No,Average,8.95,Average
1141,Laptop,27116685,Dell,Inspiron,2014-11-13,2021-03-21,2022-01-05,2610,No,No,No,Average,7.35,Average
1142,Feature Phone,19246246,Nokia,215,2017-07-30,2021-05-25,2022-01-13,1628,No,No,Yes,Average,6.24,Average
1143,Feature Phone,36357901,Nokia,8000,2016-01-31,2021-07-09,2022-02-08,2200,No,No,Yes,Good,14.43,Good
1144,Feature Phone,32406047,Samsung,215,2019-12-01,2021-02-04,2022-01-29,790,No,No,No,Average,9.1,Average
1145,Laptop,64546292,Dell,Vostro,2016-09-01,2021-01-13,2022-02-16,1994,No,No,No,Good,19.9,Good
1146,Feature Phone,80208303,Nokia,215,2019-06-05,2021-07-03,2022-02-14,985,No,Yes,Yes,Average,6.1,Average
1147,Smart Phone,18098440,Apple,Iphone 8,2017-02-17,2021-01-22,2022-01-04,1782,No,No,Yes,Average,8.91,Average
1148,Laptop,07266669,HP,Probook,2014-02-18,2021-01-29,2022-02-21,2925,No,No,Yes,Poor,3.2,Poor
1149,Smart Phone,34855409,Samsung,Galaxy A8s,2020-12-12,2021-04-11,2022-01-24,408,No,No,Yes,Average,9.16,Average
1150,Laptop,98881871,Apple,ProBook,2018-06-03,2021-08-03,2022-01-05,1312,Yes,No,Yes,Poor,2.28,Poor
1151,Smart Phone,83929786,OnePlus,OnePlus nord,2018-05-20,2021-06-22,2022-01-09,1330,No,No,No,Good,19.1,Good
1152,Feature Phone,75054502,Nokia,125,2019-05-04,2021-06-19,2022-01-08,980,No,No,No,Good,17.57,Good
1153,Smart Phone,01402452,Nokia,G50,2018-04-07,2021-01-28,2022-02-09,1404,No,No,No,Good,14.74,Good
1154,Laptop,45579301,HP,Probook,2015-09-18,2021-03-21,2022-02-14,2341,No,Yes,No,Average,9.38,Average
1155,Feature Phone,19535029,Samsung,6300,2017-05-01,2021-05-14,2022-01-06,1711,No,Yes,No,Good,14.77,Good
1156,Smart Phone,59341796,OnePlus,OnePlus 7,2020-12-09,2021-07-10,2022-02-09,427,No,No,No,Good,16.7,Good
1157,Smart Phone,98578221,Nokia,X100,2017-10-05,2021-01-15,2022-02-18,1597,No,No,No,Poor,1.37,Poor
1158,Laptop,48513067,Lenovo,Ideapad,2017-03-14,2021-07-21,2022-01-29,1782,No,No,No,Good,18.7,Good
1159,Smart Phone,62901871,Nokia,XR20,2020-06-27,2021-04-21,2022-02-11,594,No,Yes,No,Good,15.79,Good
1160,Feature Phone,73713791,Samsung,6300,2016-05-01,2021-02-18,2022-02-07,2108,No,No,No,Poor,1.31,Poor
1161,Laptop,73858744,Apple,MacBook,2018-02-14,2021-04-30,2022-01-29,1445,No,No,No,Average,6.39,Average
1162,Smart Phone,40623221,Oppo,A11k,2015-11-30,2021-04-11,2022-02-20,2274,No,No,No,Average,7.87,Average
1163,Feature Phone,12081455,Samsung,215,2017-10-09,2021-03-26,2022-02-04,1579,No,Yes,No,Poor,3.81,Poor
1164,Smart Phone,30756588,OnePlus,OnePlus 7,2016-10-21,2021-06-04,2022-02-21,1949,Yes,Yes,Yes,Poor,3.48,Poor
1165,Feature Phone,73810995,Samsung,5310,2017-06-10,2021-03-08,2022-01-10,1675,No,Yes,No,Average,8.43,Average
1166,Feature Phone,87615265,Nokia,8000,2020-01-14,2021-06-06,2022-02-19,767,No,Yes,No,Average,8.87,Average
1167,Laptop,38044601,Apple,MacBook,2019-08-09,2021-03-07,2022-01-26,901,No,No,Yes,Good,13.51,Good
1168,Smart Phone,23987999,Blackberry,Aurora,2018-06-29,2021-05-15,2022-01-12,1293,No,Yes,Yes,Average,10.11,Average
1169,Smart Phone,45172557,Nokia,XR20,2017-02-12,2021-07-20,2022-02-11,1825,No,No,No,Average,6.83,Average
1170,Feature Phone,02529301,Nokia,215,2016-05-27,2021-07-09,2022-01-23,2067,No,No,Yes,Poor,3.48,Poor
1171,Feature Phone,81227747,Samsung,215,2014-12-25,2021-01-06,2022-01-28,2591,No,No,No,Average,8.49,Average
1172,Smart Phone,88875774,Nokia,G50,2017-03-29,2021-05-21,2022-02-02,1771,No,No,No,Good,16.41,Good
1173,Laptop,20292423,Lenovo,ThinkPad,2018-10-21,2021-03-28,2022-02-04,1202,No,Yes,No,Good,18.63,Good
1174,Laptop,45875410,Dell,Inspiron,2019-07-23,2021-07-17,2022-01-29,921,No,Yes,No,Average,7.88,Average
1175,Laptop,73851530,Apple,ProBook,2018-08-01,2021-04-22,2022-01-01,1249,Yes,Yes,Yes,Poor,2.5,Poor
1176,Feature Phone,73408772,Samsung,215,2017-01-23,2021-02-20,2022-01-17,1820,No,Yes,No,Poor,3.81,Poor
1177,Feature Phone,38230493,Samsung,225,2017-08-07,2021-07-30,2022-01-28,1635,No,No,No,Poor,4.41,Poor
1178,Laptop,09553446,Dell,Inspiron,2018-08-01,2021-03-23,2022-01-30,1278,No,No,Yes,Good,17.11,Good
1179,Smart Phone,44299118,OnePlus,OnePlus 6T,2020-07-25,2021-03-09,2022-01-13,537,No,No,No,Good,16.25,Good
1180,Laptop,48405133,Apple,MacBook,2019-01-15,2021-07-04,2022-02-12,1124,No,Yes,No,Poor,2.16,Poor
1181,Laptop,46983077,Lenovo,ThinkPad,2018-09-11,2021-02-19,2022-02-06,1244,No,Yes,No,Average,10.29,Average
1182,Feature Phone,82746469,Nokia,8000,2016-02-08,2021-02-08,2022-01-10,2163,No,Yes,No,Poor,3.94,Poor
1183,Smart Phone,23101043,Apple,Iphone 6S,2015-04-23,2021-02-09,2022-01-20,2464,No,Yes,No,Good,18.94,Good
1184,Feature Phone,71655819,Nokia,225,2018-12-03,2021-02-05,2022-01-05,1129,No,No,No,Poor,1.6,Poor
1185,Smart Phone,41596463,Nokia,G300,2018-11-18,2021-03-12,2022-01-28,1167,No,No,No,Poor,4.56,Poor
1186,Smart Phone,55655095,Samsung,Galaxy J7 duo,2018-04-23,2021-07-15,2022-01-11,1359,No,No,Yes,Poor,1.53,Poor
1187,Feature Phone,62012164,Nokia,225,2017-10-23,2021-03-02,2022-01-13,1543,No,No,No,Average,9.92,Average
1188,Laptop,93364843,HP,Probook,2016-12-04,2021-05-31,2022-01-21,1874,Yes,Yes,Yes,Poor,4.46,Poor
1189,Laptop,30584013,HP,EliteBook,2014-04-05,2021-01-23,2022-01-04,2831,No,Yes,No,Good,15.22,Good
1190,Feature Phone,60576316,Samsung,225,2016-12-29,2021-07-27,2022-01-11,1839,Yes,Yes,Yes,Poor,3.52,Poor
1191,Smart Phone,44731144,OnePlus,OnePlus 8,2015-10-16,2021-08-03,2022-01-06,2274,Yes,Yes,Yes,Average,7.48,Average
1192,Feature Phone,72015742,Nokia,225,2016-02-18,2021-04-30,2022-01-05,2148,No,Yes,No,Poor,1.22,Poor
1193,Feature Phone,30278066,Nokia,8000,2019-01-30,2021-01-18,2022-02-20,1117,No,No,Yes,Poor,1.49,Poor
1194,Laptop,72501993,Dell,Inspiron,2015-09-10,2021-06-21,2022-01-29,2333,No,No,Yes,Average,10.42,Average
1195,Laptop,34274989,HP,Pavilion,2014-04-19,2021-02-05,2022-01-31,2844,No,Yes,No,Average,10.79,Average
1196,Smart Phone,76027772,OnePlus,OnePlus nord,2018-07-25,2021-06-27,2022-01-06,1261,No,Yes,No,Poor,4.79,Poor
1197,Feature Phone,97978992,Samsung,5310,2018-01-27,2021-01-25,2022-02-09,1474,No,Yes,No,Poor,2.32,Poor
1198,Laptop,52908484,Lenovo,Ideapad,2019-06-13,2021-06-09,2022-01-20,952,No,Yes,No,Good,16.64,Good
1199,Feature Phone,77812704,Samsung,125,2015-12-30,2021-03-26,2022-01-12,2205,No,Yes,Yes,Good,14.21,Good
1200,Laptop,95220765,Apple,MacBook,2018-10-03,2021-02-24,2022-02-03,1219,Yes,No,Yes,Good,13.92,Good
1201,Smart Phone,41330579,Samsung,Galaxy A8s,2017-03-15,2021-04-25,2022-01-23,1775,No,No,No,Average,6.1,Average
1202,Laptop,12515585,Dell,Inspiron,2015-12-10,2021-06-05,2022-01-25,2238,No,No,Yes,Poor,4.27,Poor
1203,Smart Phone,74392476,Apple,Iphone 7,2018-12-10,2021-03-16,2022-01-01,1118,Yes,No,Yes,Poor,3.56,Poor
1204,Laptop,92358553,HP,Pavilion,2020-09-01,2021-05-01,2022-01-16,502,Yes,Yes,Yes,Average,9.67,Average
1205,Feature Phone,47664975,Nokia,125,2020-06-06,2021-03-14,2022-01-28,601,No,Yes,Yes,Good,18.98,Good
1206,Laptop,94035735,Lenovo,ThinkPad,2020-05-11,2021-07-09,2022-01-19,618,No,Yes,No,Poor,1.77,Poor
1207,Smart Phone,11655787,Nokia,X100,2017-10-03,2021-03-22,2022-02-07,1588,Yes,No,Yes,Good,17.29,Good
1208,Laptop,78425460,Lenovo,Ideapad,2020-02-25,2021-01-30,2022-02-17,723,No,No,Yes,Poor,2.4,Poor
1209,Smart Phone,93403221,Oppo,N1,2019-05-20,2021-05-27,2022-02-21,1008,No,Yes,No,Poor,4.89,Poor
1210,Smart Phone,63294545,Blackberry,Keyone,2017-04-19,2021-04-28,2022-02-17,1765,No,No,No,Good,16.23,Good
1211,Smart Phone,73926658,Samsung,Galaxy A6,2017-08-14,2021-07-21,2022-01-12,1612,No,No,No,Average,9.11,Average
1212,Feature Phone,47684546,Nokia,125,2020-12-04,2021-01-02,2022-02-09,432,No,Yes,No,Poor,3.55,Poor
1213,Laptop,36670741,Lenovo,Ideapad,2014-08-25,2021-01-12,2022-02-13,2729,No,No,No,Poor,3.42,Poor
1214,Feature Phone,71196435,Samsung,225,2020-12-20,2021-03-29,2022-01-11,387,No,Yes,Yes,Good,19.89,Good
1215,Laptop,16709751,Apple,ProBook,2020-11-12,2021-03-20,2022-02-06,451,No,Yes,No,Good,14.76,Good
1216,Smart Phone,41283462,Apple,Iphone 11,2019-07-01,2021-03-29,2022-02-12,957,Yes,Yes,Yes,Average,9.69,Average
1217,Laptop,84781550,Dell,Vostro,2017-11-13,2021-03-01,2022-01-11,1520,No,Yes,No,Average,9.3,Average
1218,Smart Phone,48885362,OnePlus,OnePlus 7pro,2015-12-05,2021-01-22,2022-02-18,2267,No,Yes,No,Average,8.52,Average
1219,Smart Phone,24211192,OnePlus,OnePlus 7T,2017-04-01,2021-04-20,2022-02-08,1774,No,No,No,Poor,1.79,Poor
1220,Laptop,86098397,Apple,MacBook,2015-12-12,2021-01-22,2022-01-19,2230,Yes,Yes,Yes,Good,16.64,Good
1221,Feature Phone,07524332,Samsung,8000,2020-07-26,2021-02-24,2022-01-10,533,No,Yes,No,Average,6.44,Average
1222,Smart Phone,45183393,Nokia,T20,2014-08-15,2021-03-21,2022-01-08,2703,Yes,Yes,Yes,Poor,3.54,Poor
1223,Feature Phone,81557592,Samsung,6300,2015-01-18,2021-01-05,2022-02-12,2582,No,No,No,Good,15.28,Good
1224,Laptop,17477802,HP,Probook,2015-12-04,2021-01-13,2022-01-08,2227,Yes,Yes,Yes,Poor,4.12,Poor
1225,Laptop,01387100,Lenovo,ThinkPad,2019-06-19,2021-02-23,2022-02-04,961,Yes,Yes,Yes,Good,13.12,Good
1226,Feature Phone,14950889,Samsung,8000,2017-06-14,2021-05-09,2022-01-29,1690,No,No,No,Poor,3.34,Poor
1227,Laptop,02221120,Lenovo,Ideapad,2016-01-23,2021-07-28,2022-01-12,2181,No,No,Yes,Good,15.39,Good
1228,Laptop,42657668,Apple,MacBook,2017-10-05,2021-01-14,2022-01-22,1570,No,Yes,Yes,Good,13.28,Good
1229,Feature Phone,32010022,Samsung,215,2014-12-05,2021-03-22,2022-02-10,2624,Yes,Yes,Yes,Average,7.67,Average
1230,Laptop,78849365,HP,EliteBook,2018-05-04,2021-06-22,2022-01-27,1364,Yes,Yes,Yes,Average,6.43,Average
1231,Feature Phone,37625610,Nokia,8000,2014-11-22,2021-01-11,2022-01-18,2614,Yes,No,Yes,Poor,3.42,Poor
1232,Feature Phone,12965335,Samsung,8000,2019-11-06,2021-03-13,2022-02-07,824,No,No,Yes,Poor,3.24,Poor
1233,Feature Phone,89073964,Samsung,6300,2016-11-09,2021-05-19,2022-02-21,1930,No,Yes,No,Average,7.27,Average
1234,Feature Phone,78639188,Nokia,8000,2016-05-26,2021-04-12,2022-02-12,2088,No,Yes,No,Poor,4.35,Poor
1235,Feature Phone,72316009,Nokia,5310,2017-05-16,2021-04-30,2022-01-03,1693,No,No,No,Good,19.18,Good
1236,Feature Phone,46012081,Nokia,215,2018-02-25,2021-04-04,2022-01-30,1435,Yes,Yes,Yes,Average,8.58,Average
1237,Feature Phone,36063710,Nokia,8000,2020-01-12,2021-01-07,2022-01-17,736,No,Yes,No,Good,17.38,Good
1238,Laptop,60390936,Dell,Inspiron,2018-03-14,2021-07-08,2022-01-26,1414,No,Yes,Yes,Poor,2.55,Poor
1239,Laptop,68896652,Apple,ProBook,2020-01-10,2021-02-04,2022-01-09,730,No,Yes,Yes,Poor,2.94,Poor
1240,Smart Phone,40905440,Samsung,Galaxy A8s,2019-06-17,2021-08-01,2022-01-04,932,No,No,No,Average,8.19,Average
1241,Smart Phone,40192864,OnePlus,OnePlus nord,2017-08-01,2021-06-11,2022-02-04,1648,No,No,No,Average,7.4,Average
1242,Feature Phone,85723849,Nokia,6300,2018-02-18,2021-07-01,2022-01-12,1424,No,Yes,No,Good,15.89,Good
1243,Laptop,16859128,Dell,Vostro,2018-03-29,2021-05-01,2022-01-02,1375,No,No,Yes,Poor,4.83,Poor
1244,Feature Phone,21080265,Samsung,8000,2016-04-04,2021-05-27,2022-01-08,2105,No,No,No,Poor,1.99,Poor
1245,Smart Phone,42593997,Nokia,X20,2018-07-07,2021-06-20,2022-02-02,1306,No,No,No,Poor,2.79,Poor
1246,Smart Phone,79337304,Samsung,Galaxy A8s,2017-10-21,2021-03-04,2022-02-14,1577,Yes,No,Yes,Poor,1.7,Poor
1247,Laptop,85026018,Lenovo,Ideapad,2014-10-11,2021-02-07,2022-01-01,2639,No,Yes,No,Average,6.21,Average
1248,Smart Phone,53038869,Oppo,Find 7,2019-09-11,2021-04-19,2022-01-24,866,No,Yes,Yes,Average,8.71,Average
1249,Laptop,89111291,Apple,MacBook,2020-02-16,2021-01-28,2022-01-01,685,No,Yes,No,Average,10.57,Average
1250,Feature Phone,31170420,Samsung,5310,2016-07-08,2021-04-30,2022-02-11,2044,No,Yes,Yes,Poor,3.75,Poor
1251,Feature Phone,85356269,Nokia,8000,2016-12-20,2021-02-13,2022-01-04,1841,No,No,No,Good,15.2,Good
1252,Smart Phone,99427252,Apple,Iphone 7,2020-11-27,2021-07-09,2022-01-16,415,No,No,No,Average,10.5,Average
1253,Smart Phone,23001091,Nokia,G50,2015-09-13,2021-04-05,2022-01-21,2322,Yes,Yes,Yes,Average,10.45,Average
1254,Feature Phone,58857175,Nokia,5310,2018-02-14,2021-06-18,2022-01-18,1434,No,Yes,Yes,Poor,4.38,Poor
1255,Feature Phone,34818152,Nokia,225,2020-04-05,2021-06-29,2022-02-18,684,Yes,Yes,Yes,Good,18.99,Good
1256,Feature Phone,46464583,Nokia,215,2018-05-10,2021-06-01,2022-01-25,1356,No,Yes,Yes,Poor,4.88,Poor
1257,Laptop,09867598,Apple,ProBook,2015-06-30,2021-02-23,2022-02-10,2417,No,No,No,Poor,3.63,Poor
1258,Laptop,73093169,Lenovo,Ideapad,2020-03-19,2021-04-02,2022-02-17,700,No,No,No,Average,6.36,Average
1259,Laptop,66666264,Dell,Inspiron,2017-02-01,2021-02-18,2022-01-17,1811,Yes,Yes,Yes,Average,7.26,Average
1260,Laptop,02462202,HP,EliteBook,2017-06-23,2021-01-04,2022-02-11,1694,Yes,No,Yes,Poor,2.5,Poor
1261,Feature Phone,22106339,Samsung,5310,2016-03-14,2021-03-24,2022-01-17,2135,No,Yes,Yes,Good,14.61,Good
1262,Feature Phone,77922953,Samsung,5310,2015-07-16,2021-06-11,2022-01-03,2363,Yes,No,Yes,Poor,4.7,Poor
1263,Smart Phone,98713851,Apple,Iphone 5S,2016-02-16,2021-05-16,2022-02-15,2191,Yes,No,Yes,Good,18.3,Good
1264,Feature Phone,44721091,Samsung,125,2014-05-07,2021-07-13,2022-01-01,2796,No,No,Yes,Poor,2.3,Poor
1265,Laptop,35196143,Apple,ProBook,2017-05-28,2021-07-21,2022-01-21,1699,Yes,Yes,Yes,Poor,3.36,Poor
1266,Smart Phone,55249249,Nokia,X10,2016-10-14,2021-05-11,2022-01-30,1934,Yes,No,Yes,Good,16.45,Good
1267,Smart Phone,72267745,OnePlus,OnePlus 7T,2015-11-06,2021-01-13,2022-01-25,2272,Yes,No,Yes,Poor,3.2,Poor
1268,Feature Phone,37168377,Samsung,215,2015-07-20,2021-04-21,2022-01-22,2378,No,Yes,Yes,Poor,1.97,Poor
1269,Smart Phone,64011394,Blackberry,Keyone,2015-05-22,2021-01-20,2022-01-19,2434,Yes,Yes,Yes,Average,10.23,Average
1270,Smart Phone,23204591,Apple,Iphone 5,2016-03-30,2021-03-08,2022-02-15,2148,No,No,No,Average,10.9,Average
1271,Smart Phone,22817679,OnePlus,OnePlus nord,2014-08-08,2021-05-26,2022-02-18,2751,Yes,No,Yes,Average,9.6,Average
1272,Smart Phone,90434860,Nokia,G300,2018-06-08,2021-05-15,2022-02-05,1338,No,No,No,Average,8.57,Average
1273,Smart Phone,69227028,Oppo,Joy,2017-09-09,2021-05-15,2022-02-05,1610,No,Yes,No,Average,6.73,Average
1274,Laptop,23077584,HP,Pavilion,2016-09-30,2021-02-14,2022-02-17,1966,No,No,Yes,Average,8.93,Average
1275,Laptop,44279639,Dell,Inspiron,2014-07-24,2021-06-06,2022-01-21,2738,Yes,Yes,Yes,Poor,4.82,Poor
1276,Smart Phone,82678951,Apple,Iphone 6S,2016-12-08,2021-04-11,2022-02-16,1896,No,Yes,Yes,Good,13.1,Good
1277,Laptop,78579965,Dell,Inspiron,2020-03-22,2021-01-05,2022-02-12,692,No,No,No,Average,9.4,Average
1278,Smart Phone,77772398,Oppo,Joy,2014-05-12,2021-03-11,2022-01-20,2810,No,Yes,No,Good,12.9,Good
1279,Smart Phone,56950151,Samsung,Galaxy J7 duo,2018-01-14,2021-04-26,2022-02-18,1496,No,No,No,Good,16.94,Good
1280,Laptop,60893383,Lenovo,ThinkPad,2018-07-11,2021-01-31,2022-01-08,1277,Yes,Yes,Yes,Poor,3.52,Poor
1281,Laptop,84936684,Lenovo,Ideapad,2018-06-15,2021-01-24,2022-02-21,1347,No,Yes,No,Poor,2.8,Poor
1282,Feature Phone,33991610,Nokia,215,2017-02-24,2021-04-11,2022-01-07,1778,No,Yes,No,Good,14.6,Good
1283,Laptop,93075664,HP,EliteBook,2014-01-06,2021-05-22,2022-01-25,2941,Yes,Yes,Yes,Good,17.8,Good
1284,Feature Phone,11398264,Nokia,215,2019-11-22,2021-05-16,2022-01-27,797,No,No,No,Poor,2.3,Poor
1285,Laptop,90915772,Apple,ProBook,2016-04-15,2021-03-22,2022-02-08,2125,No,Yes,No,Good,13.19,Good
1286,Smart Phone,67278374,OnePlus,OnePlus 8,2015-12-16,2021-03-26,2022-02-08,2246,No,No,Yes,Average,9.73,Average
1287,Feature Phone,04627746,Samsung,5310,2019-09-13,2021-02-27,2022-01-03,843,No,No,No,Average,6.73,Average
1288,Feature Phone,12550609,Samsung,125,2020-10-06,2021-06-22,2022-02-08,490,No,No,No,Good,15.4,Good
1289,Smart Phone,90608551,Oppo,R1,2014-05-26,2021-06-22,2022-01-13,2789,Yes,No,Yes,Poor,3.0,Poor
1290,Smart Phone,87649192,OnePlus,OnePlus 6,2015-09-20,2021-05-30,2022-01-29,2323,No,No,No,Poor,1.5,Poor
1291,Laptop,07516900,Lenovo,ThinkPad,2018-02-25,2021-04-15,2022-01-06,1411,No,Yes,No,Good,13.5,Good
1292,Smart Phone,60181312,Oppo,N1,2020-05-30,2021-04-14,2022-01-27,607,Yes,No,Yes,Poor,2.19,Poor
1293,Laptop,61616516,Lenovo,Ideapad,2016-06-18,2021-07-30,2022-01-09,2031,No,Yes,No,Poor,2.65,Poor
1294,Smart Phone,01793154,OnePlus,OnePlus 7T,2016-12-05,2021-03-10,2022-01-15,1867,Yes,Yes,Yes,Poor,1.15,Poor
1295,Feature Phone,64034201,Nokia,225,2018-06-08,2021-03-13,2022-01-17,1319,No,No,No,Average,6.42,Average
1296,Laptop,36250882,HP,Pavilion,2015-06-10,2021-02-06,2022-01-08,2404,No,Yes,No,Poor,1.54,Poor
1297,Smart Phone,32356892,Oppo,Joy,2014-04-01,2021-04-01,2022-01-19,2850,Yes,Yes,Yes,Poor,2.74,Poor
1298,Laptop,62801867,HP,Pavilion,2018-07-17,2021-07-23,2022-01-24,1287,No,No,No,Good,15.25,Good
1299,Laptop,98526550,Lenovo,ThinkPad,2018-05-22,2021-06-16,2022-01-10,1329,No,Yes,No,Poor,4.2,Poor
1300,Smart Phone,99475512,Nokia,XR20,2014-09-16,2021-03-01,2022-01-10,2673,No,No,Yes,Poor,4.53,Poor
1301,Feature Phone,30450400,Nokia,6300,2018-12-25,2021-06-16,2022-02-01,1134,No,Yes,No,Poor,4.11,Poor
1302,Laptop,92875302,Apple,ProBook,2018-02-18,2021-05-02,2022-02-01,1444,No,No,No,Poor,2.48,Poor
1303,Laptop,32578898,HP,Pavilion,2019-07-25,2021-02-04,2022-01-05,895,No,No,No,Good,18.34,Good
1304,Smart Phone,97227120,Samsung,Galaxy A6,2019-08-10,2021-01-21,2022-01-24,898,No,Yes,No,Average,9.52,Average
1305,Feature Phone,41555552,Nokia,5310,2019-05-08,2021-06-29,2022-02-20,1019,No,No,No,Average,9.44,Average
1306,Laptop,20070823,HP,EliteBook,2017-02-04,2021-01-17,2022-01-15,1806,No,No,No,Good,13.44,Good
1307,Smart Phone,13708382,Apple,Iphone X,2016-11-22,2021-06-18,2022-01-16,1881,No,No,Yes,Poor,1.86,Poor
1308,Smart Phone,32456639,Oppo,A52,2017-07-18,2021-07-22,2022-02-10,1668,No,No,No,Poor,1.3,Poor
1309,Smart Phone,28410973,Nokia,X20,2018-03-20,2021-02-11,2022-02-07,1420,Yes,No,Yes,Poor,4.86,Poor
1310,Laptop,02048819,Lenovo,ThinkPad,2014-08-23,2021-01-21,2022-01-19,2706,No,No,No,Good,18.11,Good
1311,Smart Phone,52728556,Nokia,XR20,2018-11-13,2021-01-18,2022-02-15,1190,No,Yes,No,Poor,4.2,Poor
1312,Smart Phone,70421637,OnePlus,OnePlus 6,2017-05-20,2021-01-18,2022-02-13,1730,No,Yes,Yes,Poor,2.36,Poor
1313,Laptop,95147871,Apple,MacBook,2015-02-03,2021-07-30,2022-02-07,2561,No,Yes,No,Poor,3.96,Poor
1314,Laptop,23121669,Dell,Vostro,2020-05-06,2021-06-27,2022-01-29,633,No,No,No,Average,8.5,Average
1315,Smart Phone,78084728,Apple,Iphone 13,2018-03-21,2021-02-15,2022-01-20,1401,No,No,No,Average,10.82,Average
1316,Smart Phone,89430651,Apple,Iphone XS,2014-08-22,2021-04-24,2022-02-09,2728,Yes,Yes,Yes,Average,8.84,Average
1317,Feature Phone,96716069,Nokia,215,2016-07-14,2021-01-09,2022-01-05,2001,No,No,No,Poor,3.2,Poor
1318,Smart Phone,38187827,OnePlus,OnePlus 6,2017-04-15,2021-01-06,2022-01-18,1739,No,No,Yes,Average,6.53,Average
1319,Feature Phone,26891088,Samsung,5310,2020-08-04,2021-02-22,2022-01-14,528,No,Yes,No,Poor,3.8,Poor
1320,Feature Phone,04598091,Samsung,125,2017-01-04,2021-02-25,2022-01-17,1839,No,Yes,No,Poor,1.45,Poor
1321,Smart Phone,07237294,Apple,Iphone 5S,2016-06-01,2021-02-05,2022-01-29,2068,No,No,No,Good,18.19,Good
1322,Smart Phone,64148137,Oppo,N1,2018-12-19,2021-05-28,2022-01-09,1117,No,Yes,Yes,Poor,2.76,Poor
1323,Smart Phone,15887481,OnePlus,OnePlus 7T,2017-10-18,2021-05-09,2022-01-17,1552,No,No,No,Poor,4.73,Poor
1324,Laptop,08343406,Apple,MacBook,2016-03-03,2021-07-13,2022-01-21,2150,Yes,No,Yes,Average,10.98,Average
1325,Smart Phone,29591404,Oppo,R1,2015-08-06,2021-08-07,2022-02-19,2389,No,Yes,No,Good,13.46,Good
1326,Laptop,96076859,Lenovo,ThinkPad,2020-01-08,2021-01-30,2022-01-11,734,No,Yes,No,Average,9.1,Average
1327,Laptop,38988653,Dell,Inspiron,2014-04-28,2021-04-23,2022-02-07,2842,No,Yes,No,Good,12.57,Good
1328,Feature Phone,16307520,Nokia,215,2017-09-12,2021-04-26,2022-02-13,1615,No,Yes,No,Poor,3.37,Poor
1329,Feature Phone,39213754,Nokia,225,2017-09-13,2021-07-12,2022-02-04,1605,Yes,No,Yes,Average,6.44,Average
1330,Laptop,15823366,HP,Probook,2019-04-03,2021-04-05,2022-01-14,1017,No,Yes,Yes,Good,16.8,Good
1331,Smart Phone,55790321,Oppo,Joy,2014-03-13,2021-05-24,2022-02-10,2891,No,Yes,No,Poor,2.13,Poor
1332,Smart Phone,29155873,Blackberry,Passport,2014-06-03,2021-08-07,2022-01-30,2798,No,Yes,No,Good,19.66,Good
1333,Smart Phone,37581695,Oppo,Find 7,2019-08-04,2021-05-09,2022-01-27,907,No,Yes,Yes,Poor,1.52,Poor
1334,Laptop,33711553,Lenovo,Ideapad,2016-07-03,2021-04-03,2022-01-16,2023,No,No,Yes,Average,6.98,Average
