,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,Assessment_Date,Age,device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
644,Feature Phone,45057397,Nokia,6300,2019-11-07,2021-02-12,2022-02-18,834 days,No,No,No,Poor,3.78,Poor
645,Laptop,23950184,Apple,MacBook,2020-04-26,2021-07-18,2022-02-18,663 days,Yes,No,Yes,Good,18.5,Good
646,Feature Phone,28213024,Samsung,6300,2018-06-16,2021-03-03,2022-02-18,1343 days,No,Yes,Yes,Average,9.75,Average
647,Laptop,17617888,HP,Probook,2016-03-31,2021-02-25,2022-02-18,2150 days,No,Yes,No,Poor,2.12,Poor
648,Laptop,42977186,Apple,ProBook,2018-05-13,2021-06-08,2022-02-18,1377 days,No,No,Yes,Poor,4.8,Poor
649,Laptop,55811149,Apple,MacBook,2019-12-07,2021-05-21,2022-02-18,804 days,No,Yes,No,Poor,2.92,Poor
650,Smart Phone,59495819,Nokia,G50,2020-04-08,2021-06-09,2022-02-18,681 days,Yes,No,Yes,Average,9.99,Average
651,Feature Phone,34801505,Nokia,8000,2016-12-07,2021-01-24,2022-02-18,1899 days,Yes,Yes,Yes,Good,13.82,Good
652,Laptop,01271645,Dell,Vostro,2015-06-24,2021-01-29,2022-02-18,2431 days,No,Yes,No,Poor,2.26,Poor
653,Feature Phone,99886974,Samsung,125,2014-11-11,2021-07-24,2022-02-18,2656 days,No,Yes,No,Good,12.64,Good
654,Laptop,01790443,Lenovo,ThinkPad,2016-09-15,2021-02-03,2022-02-18,1982 days,No,No,No,Poor,3.73,Poor
655,Feature Phone,59033141,Nokia,215,2020-07-05,2021-06-17,2022-02-18,593 days,No,No,Yes,Poor,4.9,Poor
656,Laptop,42508977,Lenovo,ThinkPad,2014-01-04,2021-03-11,2022-02-18,2967 days,Yes,No,Yes,Poor,2.35,Poor
657,Smart Phone,34712573,OnePlus,OnePlus nord,2015-12-28,2021-01-30,2022-02-18,2244 days,No,Yes,Yes,Good,19.86,Good
658,Feature Phone,63588521,Samsung,8000,2018-04-30,2021-03-25,2022-02-18,1390 days,No,Yes,Yes,Good,16.15,Good
659,Feature Phone,22986245,Nokia,225,2015-05-22,2021-06-03,2022-02-18,2464 days,No,Yes,Yes,Poor,4.37,Poor
660,Laptop,50297184,HP,Probook,2020-12-02,2021-03-03,2022-02-18,443 days,No,Yes,Yes,Poor,2.95,Poor
661,Feature Phone,37874964,Samsung,225,2018-04-04,2021-02-16,2022-02-18,1416 days,No,No,No,Good,16.15,Good
662,Feature Phone,05396474,Samsung,8000,2018-02-11,2021-01-01,2022-02-18,1468 days,No,Yes,No,Average,6.98,Average
663,Feature Phone,80106906,Nokia,225,2018-01-23,2021-03-17,2022-02-18,1487 days,No,No,No,Average,8.6,Average
664,Feature Phone,03743942,Nokia,125,2016-05-14,2021-03-16,2022-02-18,2106 days,Yes,Yes,Yes,Average,9.3,Average
665,Feature Phone,09842946,Samsung,225,2015-01-12,2021-03-13,2022-02-18,2594 days,No,Yes,No,Average,7.94,Average
666,Smart Phone,35377962,OnePlus,OnePlus 9R,2020-01-07,2021-01-10,2022-02-18,773 days,No,No,No,Poor,1.57,Poor
667,Feature Phone,99472030,Samsung,6300,2016-11-12,2021-04-30,2022-02-18,1924 days,No,No,Yes,Average,6.77,Average
668,Feature Phone,25632330,Nokia,215,2017-05-18,2021-06-07,2022-02-18,1737 days,No,No,Yes,Good,12.46,Good
669,Feature Phone,53307330,Samsung,125,2016-10-08,2021-04-08,2022-02-18,1959 days,No,No,Yes,Average,6.93,Average
670,Feature Phone,96053287,Nokia,215,2016-03-30,2021-06-04,2022-02-18,2151 days,No,No,No,Average,6.26,Average
671,Feature Phone,11147718,Nokia,225,2016-10-10,2021-05-06,2022-02-18,1957 days,No,No,No,Poor,2.7,Poor
672,Feature Phone,49287561,Samsung,225,2018-01-22,2021-05-20,2022-02-18,1488 days,No,Yes,Yes,Average,7.44,Average
673,Smart Phone,51680022,OnePlus,OnePlus 6T,2019-01-14,2021-01-13,2022-02-18,1131 days,Yes,Yes,Yes,Average,9.24,Average
674,Laptop,82571719,Lenovo,Ideapad,2019-05-03,2021-06-09,2022-02-18,1022 days,No,No,Yes,Average,9.9,Average
675,Smart Phone,58174432,Apple,Iphone 11,2019-08-22,2021-03-14,2022-02-18,911 days,Yes,Yes,Yes,Good,18.76,Good
676,Smart Phone,88685113,Nokia,XR20,2018-07-04,2021-07-30,2022-02-18,1325 days,No,No,No,Average,6.7,Average
677,Smart Phone,59539643,Blackberry,Leap,2018-03-10,2021-05-21,2022-02-18,1441 days,No,Yes,No,Poor,3.77,Poor
678,Smart Phone,72948828,Samsung,Galaxy J7 duo,2020-10-20,2021-03-05,2022-02-18,486 days,Yes,Yes,Yes,Poor,3.67,Poor
679,Feature Phone,21279386,Samsung,215,2020-04-28,2021-07-26,2022-02-18,661 days,No,No,No,Poor,2.34,Poor
680,Smart Phone,99297008,Oppo,N1,2020-12-09,2021-02-08,2022-02-18,436 days,No,Yes,Yes,Average,7.86,Average
681,Feature Phone,52725494,Nokia,215,2017-11-10,2021-07-18,2022-02-18,1561 days,Yes,Yes,Yes,Poor,2.61,Poor
682,Feature Phone,25859973,Nokia,215,2019-07-15,2021-04-20,2022-02-18,949 days,No,Yes,Yes,Average,7.16,Average
683,Laptop,89581995,Lenovo,ThinkPad,2015-12-20,2021-07-20,2022-02-18,2252 days,No,No,No,Good,19.4,Good
684,Smart Phone,97648581,Nokia,G300,2014-04-15,2021-06-03,2022-02-18,2866 days,Yes,No,Yes,Poor,4.72,Poor
685,Feature Phone,55406109,Samsung,125,2019-01-27,2021-03-10,2022-02-18,1118 days,No,No,Yes,Poor,2.71,Poor
686,Feature Phone,18669183,Nokia,5310,2016-11-18,2021-05-17,2022-02-18,1918 days,Yes,Yes,Yes,Poor,4.45,Poor
687,Smart Phone,00211901,Apple,Iphone 11,2018-02-01,2021-03-06,2022-02-18,1478 days,No,Yes,No,Poor,3.44,Poor
688,Laptop,28247845,Apple,ProBook,2017-10-22,2021-02-21,2022-02-18,1580 days,No,No,No,Poor,4.9,Poor
689,Laptop,42466796,Lenovo,ThinkPad,2018-01-31,2021-06-28,2022-02-18,1479 days,Yes,No,Yes,Poor,2.59,Poor
690,Laptop,26676142,Apple,ProBook,2016-12-22,2021-07-07,2022-02-18,1884 days,No,Yes,No,Poor,4.15,Poor
691,Feature Phone,36732289,Samsung,225,2019-09-16,2021-07-25,2022-02-18,886 days,No,No,Yes,Good,15.71,Good
692,Feature Phone,95385495,Samsung,225,2016-02-10,2021-03-07,2022-02-18,2200 days,No,Yes,No,Good,16.52,Good
693,Smart Phone,84574664,Blackberry,Torch,2017-11-25,2021-05-29,2022-02-18,1546 days,No,No,No,Good,12.3,Good
694,Smart Phone,91460493,OnePlus,OnePlus 7T,2019-09-03,2021-03-20,2022-02-18,899 days,Yes,Yes,Yes,Poor,1.15,Poor
695,Laptop,01059342,Dell,Vostro,2018-08-17,2021-05-27,2022-02-18,1281 days,No,Yes,No,Good,15.81,Good
696,Feature Phone,83981265,Samsung,215,2014-01-11,2021-05-10,2022-02-18,2960 days,No,No,No,Average,6.73,Average
697,Laptop,30574564,Apple,ProBook,2019-11-19,2021-04-22,2022-02-18,822 days,Yes,Yes,Yes,Average,8.56,Average
698,Feature Phone,51563424,Samsung,215,2016-12-17,2021-07-29,2022-02-18,1889 days,Yes,No,Yes,Average,7.84,Average
699,Laptop,18625752,Dell,Vostro,2015-06-04,2021-06-09,2022-02-18,2451 days,No,Yes,No,Good,11.24,Good
700,Smart Phone,19807546,Nokia,X10,2016-07-11,2021-04-27,2022-02-18,2048 days,No,No,Yes,Good,11.29,Good
701,Laptop,09749924,Apple,MacBook,2019-05-02,2021-04-02,2022-02-18,1023 days,No,No,No,Average,6.59,Average
702,Smart Phone,05832859,Oppo,A3s,2018-09-23,2021-04-15,2022-02-18,1244 days,No,Yes,No,Poor,2.19,Poor
703,Laptop,85724129,Lenovo,Ideapad,2017-06-05,2021-04-28,2022-02-18,1719 days,No,Yes,Yes,Poor,1.82,Poor
704,Feature Phone,93019590,Samsung,215,2020-12-09,2021-01-31,2022-02-18,436 days,Yes,No,Yes,Good,12.7,Good
705,Feature Phone,72977910,Nokia,125,2019-05-31,2021-04-30,2022-02-18,994 days,No,No,No,Poor,3.38,Poor
706,Smart Phone,20912512,OnePlus,OnePlus 9R,2016-10-29,2021-02-14,2022-02-18,1938 days,No,Yes,No,Poor,4.7,Poor
707,Feature Phone,47269897,Nokia,215,2014-09-17,2021-03-30,2022-02-18,2711 days,No,No,No,Average,7.26,Average
708,Smart Phone,71001715,Nokia,XR20,2017-05-04,2021-07-01,2022-02-18,1751 days,No,No,Yes,Good,17.28,Good
709,Smart Phone,77931962,Oppo,Find 7,2014-11-28,2021-06-12,2022-02-18,2639 days,No,Yes,Yes,Average,6.35,Average
710,Laptop,61192188,Apple,MacBook,2018-07-02,2021-01-02,2022-02-18,1327 days,No,No,No,Poor,4.92,Poor
711,Laptop,92479906,Dell,Inspiron,2014-07-24,2021-03-12,2022-02-18,2766 days,No,No,Yes,Poor,4.7,Poor
712,Smart Phone,45741647,Oppo,Find 7,2015-01-16,2021-05-23,2022-02-18,2590 days,No,Yes,No,Good,14.32,Good
713,Laptop,19831176,Dell,Inspiron,2016-05-09,2021-04-12,2022-02-18,2111 days,No,No,No,Average,9.87,Average
714,Laptop,61447974,Dell,Vostro,2020-11-26,2021-05-05,2022-02-18,449 days,No,Yes,Yes,Good,11.77,Good
715,Feature Phone,11013136,Nokia,6300,2015-11-24,2021-06-29,2022-02-18,2278 days,Yes,No,Yes,Good,19.51,Good
716,Smart Phone,26664910,Oppo,Neo,2015-07-20,2021-07-11,2022-02-18,2405 days,No,Yes,No,Good,19.73,Good
717,Smart Phone,82894160,Blackberry,Leap,2018-08-23,2021-03-18,2022-02-18,1275 days,No,Yes,Yes,Poor,3.8,Poor
718,Laptop,91226433,Dell,Inspiron,2018-10-21,2021-05-18,2022-02-18,1216 days,No,No,No,Good,14.78,Good
719,Laptop,84516053,Apple,ProBook,2020-01-13,2021-03-30,2022-02-18,767 days,No,No,No,Poor,4.89,Poor
720,Laptop,53853981,HP,Probook,2016-04-17,2021-05-20,2022-02-18,2133 days,No,Yes,Yes,Poor,1.37,Poor
721,Feature Phone,85796362,Samsung,225,2014-07-15,2021-06-30,2022-02-18,2775 days,Yes,Yes,Yes,Average,9.82,Average
722,Smart Phone,29227716,Nokia,C20 Plus,2020-01-03,2021-05-13,2022-02-18,777 days,No,No,No,Poor,3.67,Poor
723,Feature Phone,96977514,Nokia,5310,2017-09-24,2021-07-24,2022-02-18,1608 days,Yes,No,Yes,Good,11.11,Good
724,Feature Phone,01205008,Nokia,5310,2017-03-19,2021-02-25,2022-02-18,1797 days,No,Yes,No,Poor,4.85,Poor
725,Feature Phone,77805218,Nokia,5310,2018-12-05,2021-03-10,2022-02-18,1171 days,No,No,No,Poor,2.35,Poor
726,Feature Phone,88571546,Nokia,5310,2017-03-05,2021-06-23,2022-02-18,1811 days,Yes,No,Yes,Poor,4.44,Poor
727,Laptop,49957860,Apple,MacBook,2015-07-07,2021-06-23,2022-02-18,2418 days,No,Yes,No,Average,8.35,Average
728,Laptop,48119313,HP,Pavilion,2014-01-05,2021-05-15,2022-02-18,2966 days,No,No,No,Average,9.67,Average
729,Laptop,63408539,Dell,Vostro,2020-01-01,2021-03-16,2022-02-18,779 days,Yes,No,Yes,Poor,4.75,Poor
730,Smart Phone,89488515,Oppo,A11k,2018-08-21,2021-04-17,2022-02-18,1277 days,No,Yes,Yes,Poor,1.19,Poor
731,Feature Phone,82516253,Nokia,6300,2017-06-26,2021-05-03,2022-02-18,1698 days,No,Yes,Yes,Good,18.5,Good
732,Smart Phone,78648425,OnePlus,OnePlus 8,2019-08-15,2021-06-18,2022-02-18,918 days,No,Yes,No,Poor,2.97,Poor
733,Feature Phone,88053899,Nokia,5310,2015-10-16,2021-05-27,2022-02-18,2317 days,No,Yes,No,Average,7.4,Average
734,Smart Phone,88268071,Oppo,R1,2020-08-09,2021-06-27,2022-02-18,558 days,No,No,No,Good,14.61,Good
735,Smart Phone,58684061,Apple,Iphone XS,2018-08-06,2021-04-09,2022-02-18,1292 days,No,Yes,No,Average,8.5,Average
736,Feature Phone,39746085,Samsung,8000,2020-01-20,2021-05-13,2022-02-18,760 days,No,Yes,Yes,Good,18.3,Good
737,Laptop,99270490,Apple,ProBook,2016-06-08,2021-02-13,2022-02-18,2081 days,No,Yes,Yes,Poor,4.9,Poor
738,Feature Phone,74676989,Nokia,5310,2014-08-07,2021-03-05,2022-02-18,2752 days,No,No,Yes,Average,7.67,Average
739,Smart Phone,65182949,Nokia,C20 Plus,2020-10-28,2021-03-11,2022-02-18,478 days,Yes,Yes,Yes,Good,14.59,Good
740,Smart Phone,16482272,OnePlus,OnePlus 9R,2016-01-09,2021-07-10,2022-02-18,2232 days,No,No,No,Poor,4.22,Poor
741,Smart Phone,86240925,OnePlus,OnePlus 7,2018-08-08,2021-03-26,2022-02-18,1290 days,No,No,Yes,Poor,4.76,Poor
742,Laptop,65022429,Dell,Inspiron,2017-05-08,2021-06-11,2022-02-18,1747 days,No,Yes,No,Average,7.64,Average
743,Laptop,33995359,Apple,ProBook,2015-05-28,2021-06-19,2022-02-18,2458 days,Yes,Yes,Yes,Average,7.19,Average
744,Smart Phone,26974330,Blackberry,Passport,2020-02-26,2021-07-03,2022-02-18,723 days,No,No,Yes,Poor,1.13,Poor
745,Smart Phone,68043797,Nokia,G300,2015-12-06,2021-01-14,2022-02-18,2266 days,No,No,No,Poor,4.62,Poor
746,Laptop,42134718,HP,EliteBook,2014-12-16,2021-04-06,2022-02-18,2621 days,No,No,No,Good,16.77,Good
747,Laptop,08548146,Dell,Vostro,2019-03-12,2021-02-28,2022-02-18,1074 days,No,Yes,No,Good,13.77,Good
748,Feature Phone,43728459,Samsung,8000,2017-02-22,2021-03-06,2022-02-18,1822 days,Yes,Yes,Yes,Average,8.71,Average
749,Smart Phone,92244474,Samsung,Galaxy Note 9,2015-02-21,2021-05-27,2022-02-18,2554 days,No,Yes,Yes,Average,9.1,Average
750,Smart Phone,49662078,Apple,Iphone 12,2019-03-01,2021-05-21,2022-02-18,1085 days,No,Yes,No,Good,11.3,Good
751,Smart Phone,00594028,Oppo,A11k,2016-03-01,2021-02-27,2022-02-18,2180 days,No,No,No,Poor,4.73,Poor
752,Laptop,72785416,Apple,MacBook,2019-07-13,2021-01-06,2022-02-18,951 days,No,No,No,Average,9.3,Average
753,Feature Phone,97169598,Samsung,225,2020-05-29,2021-01-30,2022-02-18,630 days,Yes,Yes,Yes,Average,7.16,Average
754,Smart Phone,21438547,Samsung,Galaxy J7 duo,2019-09-26,2021-07-12,2022-02-18,876 days,No,Yes,No,Average,8.11,Average
755,Feature Phone,49207101,Samsung,225,2020-02-13,2021-04-07,2022-02-18,736 days,No,No,No,Average,9.58,Average
756,Laptop,79428705,Dell,Inspiron,2014-02-15,2021-04-04,2022-02-18,2925 days,No,No,Yes,Good,18.18,Good
757,Smart Phone,26218564,Oppo,Neo,2019-04-24,2021-01-16,2022-02-18,1031 days,Yes,Yes,Yes,Poor,2.48,Poor
758,Laptop,55208352,HP,Probook,2017-06-10,2021-06-29,2022-02-18,1714 days,Yes,No,Yes,Poor,4.55,Poor
759,Smart Phone,37743536,OnePlus,OnePlus 9R,2016-09-28,2021-05-26,2022-02-18,1969 days,No,No,No,Poor,1.77,Poor
760,Feature Phone,90543784,Samsung,6300,2019-10-12,2021-07-27,2022-02-18,860 days,No,Yes,No,Poor,1.67,Poor
761,Feature Phone,14011757,Nokia,5310,2016-05-09,2021-01-28,2022-02-18,2111 days,Yes,No,Yes,Poor,2.19,Poor
762,Laptop,76951909,Dell,Vostro,2017-08-05,2021-01-26,2022-02-18,1658 days,No,Yes,No,Poor,3.68,Poor
763,Laptop,07613371,Lenovo,ThinkPad,2015-09-06,2021-08-05,2022-02-18,2357 days,No,No,No,Average,9.2,Average
764,Laptop,04736431,Lenovo,Ideapad,2018-04-21,2021-06-10,2022-02-18,1399 days,Yes,Yes,Yes,Average,7.46,Average
765,Laptop,85108295,Apple,ProBook,2017-04-17,2021-05-27,2022-02-18,1768 days,No,Yes,Yes,Good,16.99,Good
766,Smart Phone,61679825,Samsung,Galaxy A8s,2018-05-06,2021-07-02,2022-02-18,1384 days,Yes,Yes,Yes,Good,17.46,Good
767,Laptop,68728038,HP,EliteBook,2015-09-08,2021-06-17,2022-02-18,2355 days,No,No,No,Good,17.14,Good
768,Feature Phone,73964056,Nokia,125,2020-08-24,2021-04-06,2022-02-18,543 days,No,No,No,Good,12.86,Good
769,Feature Phone,75286859,Nokia,215,2020-05-23,2021-04-21,2022-02-18,636 days,No,Yes,No,Poor,4.24,Poor
770,Smart Phone,95226019,Samsung,Galaxy A8s,2019-02-13,2021-01-03,2022-02-18,1101 days,No,No,No,Average,6.59,Average
771,Feature Phone,32972917,Samsung,225,2015-11-20,2021-04-05,2022-02-18,2282 days,Yes,Yes,Yes,Average,6.8,Average
772,Smart Phone,70922202,Oppo,A3s,2015-08-10,2021-02-24,2022-02-18,2384 days,No,Yes,Yes,Good,13.25,Good
773,Smart Phone,26981765,Blackberry,Q10,2018-01-23,2021-04-04,2022-02-18,1487 days,No,Yes,No,Average,8.16,Average
774,Smart Phone,02564043,Oppo,A3s,2014-08-06,2021-07-25,2022-02-18,2753 days,Yes,Yes,Yes,Good,18.52,Good
775,Laptop,97771555,Dell,Inspiron,2019-11-13,2021-01-04,2022-02-18,828 days,No,No,No,Average,8.44,Average
776,Laptop,80355564,HP,EliteBook,2018-04-20,2021-01-06,2022-02-18,1400 days,Yes,Yes,Yes,Poor,4.61,Poor
777,Smart Phone,94733174,Apple,Iphone 6,2016-03-08,2021-03-12,2022-02-18,2173 days,No,Yes,Yes,Poor,1.7,Poor
778,Smart Phone,45644023,Blackberry,Passport,2018-02-12,2021-08-06,2022-02-18,1467 days,No,No,No,Average,7.72,Average
779,Laptop,96494882,Apple,MacBook,2014-06-05,2021-03-15,2022-02-18,2815 days,No,No,No,Poor,4.9,Poor
780,Feature Phone,39867162,Nokia,5310,2015-06-20,2021-02-16,2022-02-18,2435 days,No,No,No,Good,16.36,Good
781,Smart Phone,46894250,OnePlus,OnePlus 9R,2019-06-05,2021-04-25,2022-02-18,989 days,No,Yes,Yes,Poor,1.88,Poor
782,Feature Phone,87292480,Nokia,225,2016-09-04,2021-02-07,2022-02-18,1993 days,No,Yes,No,Good,17.3,Good
783,Laptop,34945780,Lenovo,Ideapad,2014-08-25,2021-04-09,2022-02-18,2734 days,Yes,No,Yes,Poor,3.12,Poor
784,Smart Phone,20617974,Nokia,C20 Plus,2019-11-04,2021-06-18,2022-02-18,837 days,No,Yes,Yes,Good,14.18,Good
785,Laptop,73636977,Lenovo,ThinkPad,2016-10-30,2021-01-06,2022-02-18,1937 days,Yes,No,Yes,Poor,1.32,Poor
786,Smart Phone,28081661,OnePlus,OnePlus 8,2016-02-15,2021-06-29,2022-02-18,2195 days,No,Yes,No,Poor,3.41,Poor
787,Feature Phone,84000439,Samsung,215,2017-06-22,2021-03-11,2022-02-18,1702 days,Yes,Yes,Yes,Average,7.64,Average
788,Feature Phone,96496114,Nokia,5310,2017-06-25,2021-05-12,2022-02-18,1699 days,No,No,No,Poor,4.16,Poor
789,Feature Phone,15645944,Samsung,5310,2014-08-01,2021-04-21,2022-02-18,2758 days,No,Yes,No,Poor,4.44,Poor
790,Smart Phone,16850927,Nokia,C20 Plus,2016-08-08,2021-05-15,2022-02-18,2020 days,No,No,No,Poor,3.56,Poor
791,Laptop,32607994,Dell,Inspiron,2016-11-03,2021-07-12,2022-02-18,1933 days,Yes,Yes,Yes,Good,13.86,Good
792,Feature Phone,97288022,Samsung,215,2017-03-01,2021-05-26,2022-02-18,1815 days,No,Yes,No,Poor,2.6,Poor
793,Feature Phone,55180665,Samsung,5310,2019-07-11,2021-01-04,2022-02-18,953 days,No,Yes,Yes,Poor,2.29,Poor
794,Smart Phone,69770685,Samsung,Galaxy S9,2015-11-26,2021-06-14,2022-02-18,2276 days,No,Yes,No,Poor,3.34,Poor
795,Feature Phone,62623544,Samsung,5310,2018-04-27,2021-02-05,2022-02-18,1393 days,No,Yes,No,Poor,1.65,Poor
796,Smart Phone,09084803,OnePlus,OnePlus 8,2017-07-18,2021-06-14,2022-02-18,1676 days,No,Yes,No,Good,19.79,Good
797,Laptop,78023406,Apple,ProBook,2018-01-26,2021-07-03,2022-02-18,1484 days,Yes,Yes,Yes,Average,7.64,Average
798,Laptop,82132729,HP,Pavilion,2018-07-07,2021-05-05,2022-02-18,1322 days,Yes,No,Yes,Good,14.81,Good
799,Laptop,16842755,HP,Probook,2019-10-05,2021-04-02,2022-02-18,867 days,Yes,Yes,Yes,Good,13.19,Good
800,Laptop,75995966,Dell,Vostro,2019-11-30,2021-05-04,2022-02-18,811 days,Yes,Yes,Yes,Good,16.81,Good
801,Smart Phone,42272601,OnePlus,OnePlus 7T,2020-09-07,2021-06-06,2022-02-18,529 days,No,Yes,No,Poor,1.82,Poor
802,Feature Phone,14707650,Samsung,8000,2014-06-03,2021-03-22,2022-02-18,2817 days,No,No,No,Good,15.91,Good
803,Laptop,74485307,Apple,ProBook,2019-02-11,2021-04-23,2022-02-18,1103 days,No,Yes,No,Good,19.29,Good
804,Laptop,51269616,Apple,ProBook,2019-06-04,2021-05-03,2022-02-18,990 days,Yes,Yes,Yes,Good,11.43,Good
805,Feature Phone,74707515,Samsung,5310,2015-09-06,2021-04-20,2022-02-18,2357 days,No,Yes,Yes,Poor,3.5,Poor
806,Laptop,25210477,Dell,Inspiron,2014-09-27,2021-01-05,2022-02-18,2701 days,No,Yes,No,Good,12.65,Good
807,Laptop,42697824,HP,Probook,2016-02-19,2021-05-05,2022-02-18,2191 days,Yes,No,Yes,Poor,3.15,Poor
808,Smart Phone,99081188,OnePlus,OnePlus 6T,2019-04-03,2021-03-01,2022-02-18,1052 days,No,No,No,Average,8.47,Average
809,Feature Phone,61682566,Nokia,215,2019-07-03,2021-06-18,2022-02-18,961 days,No,Yes,No,Good,13.57,Good
810,Feature Phone,14346576,Samsung,6300,2018-12-05,2021-04-20,2022-02-18,1171 days,No,Yes,Yes,Good,12.61,Good
811,Smart Phone,61641310,OnePlus,OnePlus 7T,2017-10-07,2021-03-19,2022-02-18,1595 days,Yes,Yes,Yes,Average,9.86,Average
812,Laptop,92726260,Lenovo,Ideapad,2014-02-11,2021-06-02,2022-02-18,2929 days,No,No,No,Poor,2.9,Poor
813,Smart Phone,35622109,Samsung,Galaxy Note 9,2020-07-13,2021-02-13,2022-02-18,585 days,No,No,Yes,Good,11.15,Good
814,Smart Phone,18497243,Samsung,Galaxy J7 duo,2018-05-27,2021-01-08,2022-02-18,1363 days,Yes,Yes,Yes,Good,16.78,Good
815,Smart Phone,01528121,Apple,Iphone 13,2018-01-26,2021-06-08,2022-02-18,1484 days,Yes,No,Yes,Good,16.14,Good
816,Laptop,50642816,Apple,MacBook,2020-04-03,2021-04-02,2022-02-18,686 days,No,No,No,Average,7.21,Average
817,Smart Phone,14206764,Apple,Iphone XS,2016-09-13,2021-05-07,2022-02-18,1984 days,No,No,Yes,Good,11.4,Good
818,Laptop,25085556,Apple,MacBook,2020-10-25,2021-06-07,2022-02-18,481 days,No,Yes,Yes,Poor,1.34,Poor
819,Smart Phone,09320994,OnePlus,OnePlus 6T,2016-01-12,2021-03-08,2022-02-18,2229 days,Yes,Yes,Yes,Average,6.84,Average
820,Smart Phone,85888210,Blackberry,Leap,2017-11-05,2021-04-24,2022-02-18,1566 days,No,Yes,No,Good,19.1,Good
821,Feature Phone,37139988,Samsung,215,2018-03-04,2021-01-24,2022-02-18,1447 days,No,Yes,Yes,Poor,1.92,Poor
822,Feature Phone,72516447,Nokia,6300,2017-01-01,2021-06-12,2022-02-18,1874 days,Yes,No,Yes,Good,11.87,Good
823,Laptop,75767969,Lenovo,ThinkPad,2020-11-27,2021-03-30,2022-02-18,448 days,No,No,No,Good,19.67,Good
824,Smart Phone,04938705,Oppo,Find 7,2018-04-11,2021-01-17,2022-02-18,1409 days,No,Yes,No,Poor,4.94,Poor
825,Laptop,91389299,Lenovo,Ideapad,2016-08-19,2021-02-24,2022-02-18,2009 days,No,Yes,No,Average,9.79,Average
826,Smart Phone,16985940,Nokia,T20,2017-09-17,2021-06-28,2022-02-18,1615 days,No,Yes,Yes,Good,11.72,Good
827,Smart Phone,08396983,Blackberry,Curve,2019-12-01,2021-03-24,2022-02-18,810 days,No,No,No,Good,11.43,Good
828,Feature Phone,65108796,Nokia,225,2020-01-04,2021-08-05,2022-02-18,776 days,No,Yes,No,Average,9.2,Average
829,Smart Phone,29987450,Samsung,Galaxy Note 9,2017-02-24,2021-04-29,2022-02-18,1820 days,No,Yes,No,Poor,3.91,Poor
830,Feature Phone,90608537,Samsung,225,2016-12-08,2021-01-05,2022-02-18,1898 days,No,No,Yes,Average,9.98,Average
831,Feature Phone,87098648,Samsung,215,2019-04-15,2021-03-05,2022-02-18,1040 days,No,No,No,Average,6.95,Average
832,Smart Phone,94058581,Blackberry,Curve,2015-03-16,2021-03-03,2022-02-18,2531 days,No,No,No,Poor,3.5,Poor
833,Laptop,66014898,Dell,Inspiron,2018-12-07,2021-07-20,2022-02-18,1169 days,No,No,Yes,Average,7.5,Average
834,Laptop,77127037,Dell,Vostro,2020-11-01,2021-01-10,2022-02-18,474 days,No,Yes,No,Poor,2.74,Poor
835,Laptop,65663820,Lenovo,ThinkPad,2015-12-23,2021-02-16,2022-02-18,2249 days,Yes,No,Yes,Good,16.26,Good
836,Smart Phone,84053602,Nokia,G50,2015-02-17,2021-03-24,2022-02-18,2558 days,No,Yes,No,Poor,1.79,Poor
837,Smart Phone,81789153,Oppo,A52,2019-02-24,2021-06-17,2022-02-18,1090 days,No,No,Yes,Good,15.56,Good
838,Smart Phone,75499396,Oppo,A3s,2015-10-08,2021-03-18,2022-02-18,2325 days,Yes,No,Yes,Good,18.68,Good
839,Laptop,68675943,Lenovo,ThinkPad,2015-01-03,2021-02-04,2022-02-18,2603 days,No,No,No,Average,6.82,Average
840,Feature Phone,14605062,Nokia,5310,2018-11-23,2021-04-20,2022-02-18,1183 days,No,No,Yes,Average,8.18,Average
841,Smart Phone,42795353,OnePlus,OnePlus nord,2020-02-05,2021-07-30,2022-02-18,744 days,No,Yes,Yes,Good,17.88,Good
842,Feature Phone,44997045,Samsung,6300,2018-10-28,2021-06-01,2022-02-18,1209 days,No,No,No,Poor,1.52,Poor
843,Smart Phone,53668356,OnePlus,OnePlus 7pro,2020-11-18,2021-07-31,2022-02-18,457 days,Yes,No,Yes,Average,6.6,Average
844,Feature Phone,06471989,Samsung,6300,2018-03-24,2021-01-30,2022-02-18,1427 days,Yes,Yes,Yes,Good,17.1,Good
845,Smart Phone,84992956,Apple,Iphone 6S,2018-08-27,2021-01-18,2022-02-18,1271 days,Yes,Yes,Yes,Good,19.41,Good
846,Smart Phone,23908666,Apple,Iphone 8,2015-07-02,2021-03-15,2022-02-18,2423 days,Yes,No,Yes,Poor,3.99,Poor
847,Laptop,80650065,Lenovo,Ideapad,2017-10-18,2021-04-20,2022-02-18,1584 days,No,Yes,Yes,Good,11.94,Good
848,Smart Phone,80552079,Blackberry,Passport,2018-06-26,2021-06-12,2022-02-18,1333 days,No,No,No,Poor,3.79,Poor
849,Smart Phone,39112552,Nokia,XR20,2019-04-05,2021-06-26,2022-02-18,1050 days,No,Yes,No,Average,9.21,Average
850,Feature Phone,82589523,Nokia,215,2020-07-29,2021-03-31,2022-02-18,569 days,No,Yes,Yes,Average,8.36,Average
